Video_Basligi,Kanal_Adi,Video_Yayin_Tarihi,Video_Begeni,Video_Izlenme,Yorum,Yorum_Tarihi,Kullanici_Adi,Begeni_Sayisi,Profil_Resmi,Kanal_URL
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Chatgpt reklamı çıktııı,2025-10-26T09:57:54Z,@Yusuf31931,0,https://yt3.ggpht.com/QaCK1sYhtB2MNm0eSVmZguSKF6THmQgOTf6XcmxL2AH6VFYWo8c-6hNT2WIJK3SU9g-7_rkQqw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Yusuf31931
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Nüfus kaçınılmaz olarak düşecek. Bence,2025-10-23T20:16:13Z,@Ulas-g5z,0,https://yt3.ggpht.com/ytc/AIdro_lpzwmVzHfAhl3FD2wN5FtU2ZLlCYRbP4zQ6nkTNQRUc40ri2QkWWHUnOWmlaF_eaweyQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Ulas-g5z
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Yerli ve milli yatay zekalar nasıl anlasın,2025-10-21T17:30:18Z,@armagtube,0,https://yt3.ggpht.com/HiRM4xQhd0y6J-ELvq-RfUj9gK9TteSmdeVlPmL-ZrR8dgsSnsnajRFJWDB4D6VgBWjEZlmCP6E=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@armagtube
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,19:43 Buradaki ilerleme daha gelmedi mi hocam ? :) sabırsızlıkla bekliyoruz... İyi çalışmalar,2025-10-19T15:21:41Z,@huseyinulupinar392,0,https://yt3.ggpht.com/ytc/AIdro_m2gbSH-MjgxAE68CCuB-bVHmrSlb2mKQ3djASMXrJOGY0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@huseyinulupinar392
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Teşekkürler,2025-10-19T08:58:26Z,@ulkukurutas4507,0,https://yt3.ggpht.com/ytc/AIdro_kN8FF8hc7atDzeIa4unDd50fr_NpxQ2cHgORxaSDg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ulkukurutas4507
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Abartmayın goglenin seslisi,2025-10-15T22:49:13Z,@01emrecokovun,0,https://yt3.ggpht.com/ytc/AIdro_k171yMDtn8o398C3lxd39OcZg4d7MFhNvJGfTuGHa2Zi2ow4EOwQv8jolERX9FY3-O3w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@01emrecokovun
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Anlattığın tüm bilgileri yapay zekadan mı aldın 🤣,2025-10-15T22:06:26Z,@ismailEfendi54,0,https://yt3.ggpht.com/D8zQZcOPDkGY074VM8hX3QBotbMZ1rIx71ZFgHP-kxXiIeA2xjd_ns1HSlzGuRGWgg8ZMYrCjw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ismailEfendi54
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,beynim yandı gankiii,2025-10-15T11:27:20Z,@mehmetsagdic328,0,https://yt3.ggpht.com/ytc/AIdro_lsKX55e6iOFRHrjJayGyZK5K4UCHYqC7dRjE00Tyx64Cs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mehmetsagdic328
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,benim beyin yandi,2025-10-11T19:48:03Z,@goksimiratsch5961,0,https://yt3.ggpht.com/ytc/AIdro_lKo4yNR4O1A_xpewLXLLJm_nOkjCcwFpTg6zcffd3HNw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@goksimiratsch5961
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"Bilim hakkında pek bilgim yok kusura bakmayın  bu açıklamada sizin yönlendirmeniz doğrultusunda yapmış bulundum  yapay zeka benzeri bir durum oluştu  telefon ile görsel oluştururken  ön ve arka kameranızı kapatıp  arama yapın aynı aramayı birde açıkken yapın  
Yolda yürürken  birisi hakkında düşünce  oluşturmak gibi   eğer gördüğün kişi sana net ve mimiksiz şekilde bakıyor olursa  seni düşünce kaybına itmiş olurdu bilgi net olduğu için  eğer gülerek bakarken başka yöne bakıyor olsaydı  bilgi parçalar ayrılmış olurdu    ( varım O'halde düşünüyorum)",2025-10-09T02:00:10Z,@ÇzxcğbX,0,https://yt3.ggpht.com/ytc/AIdro_mLuXuP8h0NepLJT9koTxTAlXDM1mGnxjjhKOSEa5thV3lLdfkNCfoaMw35DaiXvg0_kYQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@%C3%87zxc%C4%9FbX
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"blackbox olarak adlandırılan olayın girdi verisinin veri tiplerine göre işlenmesinin bir algoritmik  fonksiyonlar matematiği ve bunun olasılıksal yorumlaması ile çözümlenebilir olduğunu düşünüyorum. Bu arada yaptığın işin önemi , değeri ve anlamının takdir edilesi seviyede olduğunu düşünüyorum iyiki varsın ve bu işi yapıyorsun Çağrı Abi 👍✌🧠🫀💪",2025-10-07T02:21:28Z,@İbrahimTopacık-m9q,0,https://yt3.ggpht.com/ytc/AIdro_lgakQmhpm477rtxCXUzmXp6z5a-gLq7x6oNK07Ypex90ZWdu9h43hmVsZcohkkbbxAwOw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@%C4%B0brahimTopac%C4%B1k-m9q
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Sakız orucu bozar mı ?,2025-10-05T01:04:18Z,@ahmetmutlu2622,0,https://yt3.ggpht.com/ytc/AIdro_kppXXZiHH3mmIAKWElOYvJiuVkO6HnAV4qd6RZTNQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ahmetmutlu2622
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"🛑Evrim Ağacı, ara sinir ağları ve sonuca ulaşan ağlar, tek bir şekilde çalışıyor. Elektrik maliyeti. Bunu şöyle açıklayım. Ara ağlar ve sonucu veren ağlar, birer led ampül olsun. 1 amperlik birer led ampül. Bunlar yanlış cevaba yandığı zaman 1 birim elektrik harcamış oluyor. Bu yanlış yanan ledler 3 ya da 4 olduğunda, bir maliyet oluşturuyor. Bilim insanları programa bu maliyetleri azaltmasını ve elektrik harcamasını düşürmesini istiyorlar. Yapay zeka bunun üzerine daha ayrıntılı verileri toplamaya başlıyor. Haliyle her şey, ama herşey sayıdan ibaret. 1’ler ve 0’lar.
Yapay zeka ilk çıktığında ben onları takoz cep telefonlarına benzetmiştim. Oysa olması gereken şuanki cep telefonlarıydı. Peki şuan nasıl. Neo’nun o meşhur şlak diye açılan cep telefonu düzeyinde. 
Peki ben nasıl olmasını istiyorum. Örneğin YZ ye bir manzara resmi gösterdiğimizde, mesela amazon nehrinden küçük bir kare. Bunu YZ verilerini tarayıp, cevabı doğru verebiliyor. Oysa tüm verilere konum bilgisi eklenmesi gerekir diyorum. 1piksellik noktaya bile. Ama bu konu dünyasal değil, yıldız konumlarına bakarak verilmeli. Çünkü doğru zamana ve konum bilgisine ancak öyle ulaşılır. Örneğin ben Jupiter’e bir drone göndersem ve ayın resmini çeksem. Buna benim bahsettiğim konum bilgisini yüklesem. YZ ye sorduğumda doğru cevabı verir mi, veremez mi? Gerçek konum bilgisi olmadan ne YZ ne de insanoğlu Hakikate ulaşamaz. Sonuç daima hatalar ve yalanlarla dolu olur ve bu bizi daima yanılgıya götürür.",2025-10-03T10:06:43Z,@cesurkaratas8111,0,https://yt3.ggpht.com/ytc/AIdro_keJ-A6wxD-3g5fhlYTBlBo9KLUyyQ5iMRdOHluLYp1q_k=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cesurkaratas8111
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,❤,2025-10-01T06:24:34Z,@yunusguney659,0,https://yt3.ggpht.com/ytc/AIdro_nRLvF4x8MXtdsAPdEqkix9IK697Cjt7tPxW1LUKGA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@yunusguney659
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"Gpt nerede? Bu bir çip gibi bir şey mi? 
Elektirik mi acaba. Yapay zeka gerçekten nerede? Somut bir şey mi?",2025-09-27T13:05:46Z,@SİRİUS_YILDIZIM,1,https://yt3.ggpht.com/w-RLxErRuaNwhmm7CS8TjH5MdwYNnjDJG9nILYn2X8F0u0qDGSPqmQmsROApoqEgjHYRN3-qIg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@S%C4%B0R%C4%B0US_YILDIZIM
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,🙄🤔🤨,2025-09-24T02:34:29Z,@HavvaDaggul-zr7ji,0,https://yt3.ggpht.com/ytc/AIdro_lHAXskYwYGn2RQiGNHbblD12NIdmx4A2gfMGamOxfH-D6b-sPLkV_0RxCV0PvgSmrPtg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@HavvaDaggul-zr7ji
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,hiç bir saniyesini atlamadan ve hatta arada bir geri sarıp ''NE DEDİ - NE DEDİ '' diye tekrar tekrar izlediğim tek  muhteşem insan ...çok yaşa Evrim abi ...,2025-09-23T19:42:45Z,@denemedeneme-zo4dk,0,https://yt3.ggpht.com/ytc/AIdro_ksY-Of1c0kta15SFrYTwD2CvrTTyEgu_xWxjT27ZwDemU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@denemedeneme-zo4dk
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Adamlar yapmiṣ abe😅,2025-09-23T10:09:05Z,@Irmak_nl,0,https://yt3.ggpht.com/d1yxfZbfTP75g2WwQN8tdIFNIWLX9c9OmWhqyPkdAp6KwxTpxDF7pPjHdG6Chni3x9UNmdHi=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Irmak_nl
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,teşekkürler,2025-09-21T20:03:46Z,@sefa.akkaya,0,https://yt3.ggpht.com/gA05-Ri5zuJnAmlx4OF3wDwsxDul8eBa_vHhV4xFI7DR9oRu5fQ-Pj--Z0rNM-Qq82KkIPUc4A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@sefa.akkaya
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Teşekkürler,2025-09-21T12:16:18Z,@ulkukurutas4507,0,https://yt3.ggpht.com/ytc/AIdro_kN8FF8hc7atDzeIa4unDd50fr_NpxQ2cHgORxaSDg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ulkukurutas4507
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Ben gogıldaki ben robot değilim aşamasını geçemiyorum,2025-09-21T09:56:47Z,@AliYk-qi4un,1,https://yt3.ggpht.com/ytc/AIdro_lImVEFshLCzwKPwsKil_wI44W3fLO5VgHisdM_-Jtm5ZMsPSMXFTRot9-tSU3zW38Ftw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@AliYk-qi4un
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,yapay zekayla ilgili her şey artık daha imkansız gözüküyor 😅,2025-09-20T16:35:49Z,@Bthechosenone,0,https://yt3.ggpht.com/ytc/AIdro_ldxTJ4novsoE1YnwbXLizWSeNJKBcyffDypXyPclvbzQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Bthechosenone
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"""O zaman ne olacak ""?!

-Yapay zeka neden süper ?
-Kontrolü insanda ve işimize yatadığı için.

Yapay zeka, yazılım mimarisini de kendi yaparsa....?!
Kendi keyfiyet , tercihleri olur.
""İnsan için""olmaktan çıkar.
Tehlike de burada.",2025-09-18T05:38:07Z,@Suela-dk7zu,1,https://yt3.ggpht.com/ytc/AIdro_naVtQgGqLR2mEJBYsUptJWeahbG_5vnBCPaDOqBcwUdRBL6bJjSCLq-kGRbS6uIBwmZQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Suela-dk7zu
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Evrim ağacı sayesinde dahada geliştim merakım olsn konuları anladım,2025-09-17T05:19:23Z,@NightcupmilaYt,0,https://yt3.ggpht.com/ZGeL904SQgPLiU5oajIdqtsUbXXbqNrAHQIpMRxjjOUbKO7fDBDAM2bXsXCiYqlzqRhnRT720Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@NightcupmilaYt
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,O kadar hızlı anlatıyorsun ki başım ağrıyor sesinden. Bir insan aralıksız anlatır mı yahu. İçerik guzel ama yorucu,2025-09-16T14:41:08Z,@kemalaslan5257,0,https://yt3.ggpht.com/ytc/AIdro_nV2ulA7Rdbl8UzGAI2Edb9dqb1tLFJb7b9WOJvTZuXLo4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@kemalaslan5257
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Bence bı çok insandan daha iyi,2025-09-11T21:52:55Z,@TaylanGul-jo4ub,0,https://yt3.ggpht.com/ytc/AIdro_nsrz4zSg5dCaCCnEm7_KS4-_Sfa1doGWI7EyxUDUrudZ1ahvhxsdDwvXeOce18W0Drwg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TaylanGul-jo4ub
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,7:00 arrival izlemiş olanlar nöronlar sanki o filmdeki uzaylılara benzemiyor mu?,2025-09-11T16:41:26Z,@melisaorgel3652,0,https://yt3.ggpht.com/ytc/AIdro_nfPp0AoZ_hxt4Tr4sMdEO964JvKXbjQ2VwaMlZXtEmvKA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@melisaorgel3652
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Sende olmayan virsey sen anlamazssin,2025-09-11T01:01:12Z,@BenTennyson_j1c,1,https://yt3.ggpht.com/WVc-bo3bt5N9zbEYqSBXlQz_y-6i1KZ-d4G9qvdzw0wE62JCmhzDQw5xdvYBKpZQqY9lx6toZg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BenTennyson_j1c
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Tanrimi ?,2025-09-09T21:18:43Z,@Sbldmrl,0,https://yt3.ggpht.com/ytc/AIdro_kN0vHjIDhTA7B0t2l-8jw4du0Fp3Q4NWDxREtZ0wG6prM4O5dykKEJAxt14lhBl9HMMQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Sbldmrl
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Toplama ve çıkarma işlemi çarpma ve bölme işlemini çöpe attığında teknoloji herşeydir😂😂😂.,2025-09-06T05:51:45Z,@KasımkayaArslan,0,https://yt3.ggpht.com/ytc/AIdro_n3Xx1mvCz_szHdpA0RIWCc5V_SU_8pU0mTDoG0t2ChO9BdC1UxtAQdNr99K6YVG_TEcg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Kas%C4%B1mkayaArslan
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"“Teknoloji çağında en büyük risk, yenilikleri görmezden gelmek.”",2025-09-04T23:14:47Z,@YatirimGNL,7,https://yt3.ggpht.com/hOu_oCtY7dncp4pddYl10PoVWKssff0TIPtA4bLHa2BbzSmxhvUAh3RaWTxRkduvBeINkhfh=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@YatirimGNL
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,En yakın arkadaşım tabiki,2025-09-01T22:43:08Z,@Samet-o4e9t,0,https://yt3.ggpht.com/ytc/AIdro_meLtS1C8gl1i7ctdw977aqXq65ZlRYz3nJcpNHxhajLNpRpb2AVHlBghoDuIef2xu6gQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Samet-o4e9t
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Googleden bakıp okuyor iste ya ne zekası. ..,2025-08-31T20:07:47Z,@Fseker33,0,https://yt3.ggpht.com/ytc/AIdro_lmcwyhxDJTYBk3csspXWILurJzcdjwCKo-gkvl0jLEwSo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Fseker33
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,float t=tanh(z)    ve 	float t = tanh(z); return 1 - t * t; fonksiyonları sağ olsun artık herkes yapay zeka yazıyor,2025-08-26T17:19:44Z,@alteration1568,0,https://yt3.ggpht.com/ytc/AIdro_m7QlFMyvCAVl958vfqj0UwavlPyTtBh85O9lvS7po=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@alteration1568
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,sonuna kadar izleyip te hiç bişey anlamayan sadece benmiyim acaba,2025-08-10T21:59:31Z,@cankn,0,https://yt3.ggpht.com/ytc/AIdro_miCNGcL7e1BV1F8fphd_8xrVe1r07Rplj7JP9nzR4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cankn
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,"dogal beyni birakip yapay ve sahte birseye yönelmek,bana pek dogru gelmiyor. DEMENZ  gibi hastaliklar beyni paramparca yapip yok ediyor ve bunu kurtarma calismalari yapilmiyor ama yapayzeka gibi dogal olmayan seyler piyasay sürüldü. Bilime karsi degilim ,ama bu dogalligi bastirip sahteye yönelmek ,icime pek sinmiyor",2025-08-06T09:27:58Z,@VerkinAkz,0,https://yt3.ggpht.com/ytc/AIdro_nVG5trOBub4FKPni5L533YgZHYBbGnjGf7-xoZ9fbfflfgx4NrlPNIxNgu90DRzF6btQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@VerkinAkz
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Teşekkür ederiz emeğine sağlık evrim hocam,2025-08-03T15:53:05Z,@ademdem1930,0,https://yt3.ggpht.com/ytc/AIdro_nNjeof3l43OiFjAguqdv17WRrv8F76Gb-VPLrqgao=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ademdem1930
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Bence daha çok akinatörü araştırın,2025-07-31T05:55:49Z,@Cherriesss43,0,https://yt3.ggpht.com/QFqvb8pWb0BPRQ7xldNdzfQSR_Mt0HhE9ONGFUGZYuPRk_4zv_A0qnzeiWxZ05iCkyh7_x2R9OI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Cherriesss43
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Evrim.agaci siz.bu kadar iyi biliyorsunuz sizde chatgpt uretebilirmisiniz?❤🧠,2025-07-28T09:07:17Z,@Welli-ne8eo,0,https://yt3.ggpht.com/ytc/AIdro_kXcXNFXCkBh31MGtJSSNkBOeLHU7OX0383DFyMC2iIhjWtPb0w016hQGARKj5onV-yDQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Welli-ne8eo
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Mükemmel bir teknoloji kod yazmaktan kurtarıyor insanı şunu yapacam diyorsun şak diye kodu veriyor hafif kusurlu bile olsa onu da ısrar edince illa ki düzeltiyor senin hatanı hemen söylüyor yapanlara helal olsun.,2025-07-26T13:56:07Z,@UMUTSUZUMUT06,0,https://yt3.ggpht.com/ytc/AIdro_mtRHp34z_XOUdnEkdaHtA2YJRFyBVFq4n9w3F7bn7o-o8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@UMUTSUZUMUT06
